Rk,Squad,Competition,# of Players,Weekly Wages,Annual Wages,% Estimated,Season
91,Strasbourg,fr Ligue 1,77,"€ 250,577 (£ 210,111, $255,366)","€ 13,030,000 (£ 10,925,763, $13,279,026)",100%,2019-2020
92,Mallorca,es La Liga,82,"€ 240,769 (£ 201,887, $245,371)","€ 12,520,000 (£ 10,498,125, $12,759,279)",100%,2019-2020
93,Reims,fr Ligue 1,84,"€ 235,385 (£ 197,372, $239,883)","€ 12,240,000 (£ 10,263,342, $12,473,921)",96%,2019-2020
94,Metz,fr Ligue 1,81,"€ 211,923 (£ 177,699, $215,973)","€ 11,020,000 (£ 9,240,362, $11,230,609)",100%,2019-2020
95,Dijon,fr Ligue 1,75,"€ 200,769 (£ 168,347, $204,606)","€ 10,440,000 (£ 8,754,028, $10,639,525)",100%,2019-2020
96,Nîmes,fr Ligue 1,74,"€ 154,038 (£ 129,163, $156,982)","€ 8,010,000 (£ 6,716,451, $8,163,087)",100%,2019-2020
97,Brest,fr Ligue 1,81,"€ 148,846 (£ 124,809, $151,691)","€ 7,740,000 (£ 6,490,055, $7,887,921)",100%,2019-2020
98,Paderborn 07,de Bundesliga,90,"€ 134,808 (£ 113,037, $137,384)","€ 7,010,000 (£ 5,877,944, $7,143,974)",100%,2019-2020
1,Barcelona,es La Liga,83,"€ 6,766,923 (£ 5,674,122, $6,896,250)","€ 351,880,000 (£ 295,054,323, $358,605,024)",22%,2020-2021
2,Real Madrid,es La Liga,70,"€ 6,044,038 (£ 5,067,977, $6,159,550)","€ 314,290,000 (£ 263,534,797, $320,296,616)",0%,2020-2021
3,Paris S-G,fr Ligue 1,96,"€ 4,664,231 (£ 3,910,997, $4,753,372)","€ 242,540,000 (£ 203,371,818, $247,175,346)",44%,2020-2021
4,Manchester Utd,eng Premier League,86,"€ 4,435,653 (£ 3,719,423, $4,519,922)","€ 230,653,939 (£ 193,410,000, $235,035,931)",3%,2020-2021
5,Bayern Munich,de Bundesliga,83,"€ 4,318,654 (£ 3,621,227, $4,401,191)","€ 224,570,000 (£ 188,303,826, $228,861,912)",12%,2020-2021
6,Juventus,it Serie A,72,"€ 4,156,346 (£ 3,485,131, $4,235,781)","€ 216,130,000 (£ 181,226,818, $220,260,613)",6%,2020-2021
7,Chelsea,eng Premier League,82,"€ 3,389,911 (£ 2,842,538, $3,454,313)","€ 176,275,358 (£ 147,811,988, $179,624,258)",2%,2020-2021
8,Arsenal,eng Premier League,87,"€ 3,381,609 (£ 2,835,577, $3,445,853)","€ 175,843,663 (£ 147,450,000, $179,184,367)",1%,2020-2021
9,Atlético Madrid,es La Liga,68,"€ 3,276,731 (£ 2,747,566, $3,339,355)","€ 170,390,000 (£ 142,873,440, $173,646,443)",37%,2020-2021
10,Manchester City,eng Premier League,76,"€ 3,157,499 (£ 2,647,654, $3,217,485)","€ 164,189,924 (£ 137,678,000, $167,309,223)",1%,2020-2021
11,Tottenham,eng Premier League,82,"€ 3,084,064 (£ 2,586,077, $3,142,655)","€ 160,371,329 (£ 134,476,000, $163,418,084)",4%,2020-2021
12,Liverpool,eng Premier League,84,"€ 3,002,511 (£ 2,517,692, $3,059,553)","€ 156,130,569 (£ 130,920,000, $159,096,757)",5%,2020-2021
13,Inter,it Serie A,79,"€ 2,670,769 (£ 2,239,462, $2,721,812)","€ 138,880,000 (£ 116,452,045, $141,534,233)",6%,2020-2021
14,Roma,it Serie A,85,"€ 2,176,346 (£ 1,824,885, $2,217,940)","€ 113,170,000 (£ 94,893,995, $115,332,872)",2%,2020-2021
15,Everton,eng Premier League,87,"€ 2,111,596 (£ 1,770,635, $2,151,713)","€ 109,803,009 (£ 92,073,000, $111,889,062)",1%,2020-2021
16,Napoli,it Serie A,74,"€ 2,065,769 (£ 1,732,165, $2,105,250)","€ 107,420,000 (£ 90,072,568, $109,472,983)",0%,2020-2021
17,Crystal Palace,eng Premier League,87,"€ 2,035,043 (£ 1,706,442, $2,073,705)","€ 105,822,228 (£ 88,735,000, $107,832,658)",2%,2020-2021
18,Villarreal,es La Liga,84,"€ 1,857,115 (£ 1,557,207, $1,892,608)","€ 96,570,000 (£ 80,974,753, $98,415,618)",60%,2020-2021
19,Sevilla,es La Liga,81,"€ 1,797,885 (£ 1,507,541, $1,832,245)","€ 93,490,000 (£ 78,392,148, $95,276,751)",68%,2020-2021
20,Leicester City,eng Premier League,80,"€ 1,777,976 (£ 1,490,885, $1,811,755)","€ 92,454,770 (£ 77,526,000, $94,211,238)",0%,2020-2021
21,Dortmund,de Bundesliga,85,"€ 1,737,115 (£ 1,456,586, $1,770,315)","€ 90,330,000 (£ 75,742,458, $92,056,361)",54%,2020-2021
22,Lazio,it Serie A,95,"€ 1,676,346 (£ 1,405,630, $1,708,384)","€ 87,170,000 (£ 73,092,777, $88,835,968)",7%,2020-2021
23,Milan,it Serie A,82,"€ 1,621,923 (£ 1,359,996, $1,652,921)","€ 84,340,000 (£ 70,719,796, $85,951,884)",0%,2020-2021
24,West Ham,eng Premier League,72,"€ 1,524,556 (£ 1,278,385, $1,553,520)","€ 79,276,933 (£ 66,476,000, $80,783,044)",3%,2020-2021
25,Valencia,es La Liga,78,"€ 1,449,808 (£ 1,215,676, $1,477,516)","€ 75,390,000 (£ 63,215,147, $76,830,834)",67%,2020-2021
26,Aston Villa,eng Premier League,79,"€ 1,424,496 (£ 1,194,481, $1,451,559)","€ 74,073,800 (£ 62,113,024, $75,481,066)",0%,2020-2021
27,Athletic Club,es La Liga,80,"€ 1,394,615 (£ 1,169,397, $1,421,269)","€ 72,520,000 (£ 60,808,628, $73,905,978)",96%,2020-2021
28,Newcastle Utd,eng Premier League,94,"€ 1,319,756 (£ 1,106,654, $1,344,829)","€ 68,627,328 (£ 57,546,000, $69,931,123)",3%,2020-2021
29,Southampton,eng Premier League,76,"€ 1,311,454 (£ 1,099,692, $1,336,369)","€ 68,195,619 (£ 57,184,000, $69,491,210)",3%,2020-2021
30,Schalke 04,de Bundesliga,93,"€ 1,202,308 (£ 1,008,145, $1,225,286)","€ 62,520,000 (£ 52,423,545, $63,714,862)",98%,2020-2021
31,Fulham,eng Premier League,89,"€ 1,196,437 (£ 1,003,247, $1,219,167)","€ 62,214,699 (£ 52,168,824, $63,396,662)",8%,2020-2021
32,Brighton,eng Premier League,87,"€ 1,182,907 (£ 991,902, $1,205,380)","€ 61,511,176 (£ 51,578,900, $62,679,778)",2%,2020-2021
33,Wolves,eng Premier League,70,"€ 1,181,414 (£ 990,650, $1,203,859)","€ 61,433,538 (£ 51,513,800, $62,600,661)",9%,2020-2021
34,Monaco,fr Ligue 1,89,"€ 1,152,115 (£ 966,058, $1,174,134)","€ 59,910,000 (£ 50,235,035, $61,054,978)",85%,2020-2021
35,Cagliari,it Serie A,88,"€ 1,149,038 (£ 963,478, $1,170,999)","€ 59,750,000 (£ 50,100,874, $60,891,926)",8%,2020-2021
36,Wolfsburg,de Bundesliga,82,"€ 1,112,885 (£ 933,163, $1,134,154)","€ 57,870,000 (£ 48,524,481, $58,975,995)",100%,2020-2021
37,Leverkusen,de Bundesliga,85,"€ 1,080,769 (£ 906,234, $1,101,425)","€ 56,200,000 (£ 47,124,173, $57,274,076)",54%,2020-2021
38,Lyon,fr Ligue 1,82,"€ 1,065,962 (£ 893,818, $1,086,334)","€ 55,430,000 (£ 46,478,516, $56,489,360)",79%,2020-2021
39,RB Leipzig,de Bundesliga,81,"€ 1,035,962 (£ 868,662, $1,055,761)","€ 53,870,000 (£ 45,170,443, $54,899,548)",52%,2020-2021
40,Marseille,fr Ligue 1,98,"€ 1,021,731 (£ 856,730, $1,041,258)","€ 53,130,000 (£ 44,549,946, $54,145,401)",79%,2020-2021
41,Fiorentina,it Serie A,81,"€ 997,885 (£ 836,735, $1,016,956)","€ 51,890,000 (£ 43,510,199, $52,881,707)",6%,2020-2021
42,Real Sociedad,es La Liga,81,"€ 981,538 (£ 823,028, $1,000,297)","€ 51,040,000 (£ 42,797,468, $52,015,463)",96%,2020-2021
43,Torino,it Serie A,84,"€ 960,962 (£ 805,774, $979,327)","€ 49,970,000 (£ 41,900,260, $50,925,013)",5%,2020-2021
44,Gladbach,de Bundesliga,95,"€ 951,538 (£ 797,873, $969,724)","€ 49,480,000 (£ 41,489,393, $50,425,646)",78%,2020-2021
45,Eint Frankfurt,de Bundesliga,91,"€ 916,923 (£ 768,848, $934,447)","€ 47,680,000 (£ 39,980,079, $48,591,246)",99%,2020-2021
46,West Brom,eng Premier League,87,"€ 850,578 (£ 713,235, $866,738)","€ 44,230,079 (£ 37,088,200, $45,070,367)",21%,2020-2021
47,Atalanta,it Serie A,81,"€ 849,423 (£ 712,248, $865,657)","€ 44,170,000 (£ 37,036,910, $45,014,164)",16%,2020-2021
48,Burnley,eng Premier League,74,"€ 842,845 (£ 706,750, $858,858)","€ 43,827,947 (£ 36,751,000, $44,660,597)",3%,2020-2021
49,Hoffenheim,de Bundesliga,96,"€ 824,423 (£ 691,286, $840,179)","€ 42,870,000 (£ 35,946,852, $43,689,319)",98%,2020-2021
50,Celta Vigo,es La Liga,74,"€ 815,000 (£ 683,384, $830,576)","€ 42,380,000 (£ 35,535,983, $43,189,954)",96%,2020-2021
51,Hertha BSC,de Bundesliga,82,"€ 795,000 (£ 666,614, $810,194)","€ 41,340,000 (£ 34,663,935, $42,130,079)",96%,2020-2021
52,Parma,it Serie A,109,"€ 794,038 (£ 665,808, $809,214)","€ 41,290,000 (£ 34,622,008, $42,079,122)",23%,2020-2021
53,Genoa,it Serie A,102,"€ 788,077 (£ 660,809, $803,138)","€ 40,980,000 (£ 34,362,070, $41,763,197)",23%,2020-2021
54,Betis,es La Liga,81,"€ 760,385 (£ 637,589, $774,917)","€ 39,540,000 (£ 33,154,621, $40,295,678)",100%,2020-2021
55,Bologna,it Serie A,90,"€ 688,654 (£ 577,442, $701,815)","€ 35,810,000 (£ 30,026,984, $36,494,391)",17%,2020-2021
56,Benevento,it Serie A,94,"€ 623,269 (£ 522,616, $635,181)","€ 32,410,000 (£ 27,176,055, $33,029,412)",14%,2020-2021
57,Sassuolo,it Serie A,85,"€ 608,269 (£ 510,039, $619,894)","€ 31,630,000 (£ 26,522,016, $32,234,502)",2%,2020-2021
58,Sampdoria,it Serie A,79,"€ 587,885 (£ 492,946, $599,120)","€ 30,570,000 (£ 25,633,200, $31,154,244)",3%,2020-2021
59,Köln,de Bundesliga,94,"€ 576,346 (£ 483,271, $587,361)","€ 29,970,000 (£ 25,130,097, $30,542,780)",98%,2020-2021
60,Werder Bremen,de Bundesliga,78,"€ 575,000 (£ 482,142, $585,989)","€ 29,900,000 (£ 25,071,401, $30,471,438)",100%,2020-2021
61,Udinese,it Serie A,96,"€ 572,308 (£ 479,885, $583,245)","€ 29,760,000 (£ 24,954,007, $30,328,763)",15%,2020-2021
62,Hellas Verona,it Serie A,102,"€ 559,615 (£ 469,242, $570,311)","€ 29,100,000 (£ 24,400,593, $29,656,151)",17%,2020-2021
63,Rennes,fr Ligue 1,77,"€ 556,538 (£ 466,662, $567,175)","€ 28,940,000 (£ 24,266,434, $29,493,093)",69%,2020-2021
64,Leeds United,eng Premier League,85,"€ 554,689 (£ 465,123, $565,227)","€ 28,843,845 (£ 24,186,400, $29,391,828)",1%,2020-2021
65,Lille,fr Ligue 1,74,"€ 524,615 (£ 439,894, $534,642)","€ 27,280,000 (£ 22,874,507, $27,801,367)",64%,2020-2021
66,Granada,es La Liga,80,"€ 520,385 (£ 436,347, $530,330)","€ 27,060,000 (£ 22,690,035, $27,577,161)",98%,2020-2021
67,Getafe,es La Liga,74,"€ 495,962 (£ 415,868, $505,440)","€ 25,790,000 (£ 21,625,130, $26,282,889)",100%,2020-2021
68,Osasuna,es La Liga,77,"€ 483,462 (£ 405,387, $492,701)","€ 25,140,000 (£ 21,080,100, $25,620,469)",100%,2020-2021
69,Bordeaux,fr Ligue 1,76,"€ 472,308 (£ 396,034, $481,334)","€ 24,560,000 (£ 20,593,764, $25,029,381)",58%,2020-2021
70,Sheffield Utd,eng Premier League,86,"€ 460,679 (£ 386,292, $469,431)","€ 23,955,287 (£ 20,087,200, $24,410,390)",13%,2020-2021
71,Alavés,es La Liga,77,"€ 450,192 (£ 377,490, $458,796)","€ 23,410,000 (£ 19,629,481, $23,857,405)",97%,2020-2021
72,Nice,fr Ligue 1,84,"€ 449,231 (£ 376,684, $457,816)","€ 23,360,000 (£ 19,587,557, $23,806,448)",85%,2020-2021
73,Valladolid,es La Liga,79,"€ 446,731 (£ 374,588, $455,269)","€ 23,230,000 (£ 19,478,551, $23,673,967)",96%,2020-2021
74,Mainz 05,de Bundesliga,91,"€ 445,769 (£ 373,781, $454,289)","€ 23,180,000 (£ 19,436,626, $23,623,009)",94%,2020-2021
75,Augsburg,de Bundesliga,81,"€ 440,769 (£ 369,589, $449,193)","€ 22,920,000 (£ 19,218,613, $23,358,043)",96%,2020-2021
76,Spezia,it Serie A,106,"€ 386,923 (£ 324,438, $394,318)","€ 20,120,000 (£ 16,870,791, $20,504,529)",11%,2020-2021
77,Saint-Étienne,fr Ligue 1,85,"€ 384,423 (£ 322,342, $391,770)","€ 19,990,000 (£ 16,761,784, $20,372,045)",88%,2020-2021
78,Cádiz,es La Liga,85,"€ 373,269 (£ 312,989, $380,403)","€ 19,410,000 (£ 16,275,446, $19,780,961)",100%,2020-2021
79,Crotone,it Serie A,93,"€ 365,192 (£ 306,217, $372,172)","€ 18,990,000 (£ 15,923,274, $19,352,928)",6%,2020-2021
80,Nantes,fr Ligue 1,80,"€ 361,538 (£ 303,153, $368,448)","€ 18,800,000 (£ 15,763,963, $19,159,301)",29%,2020-2021
81,Levante,es La Liga,72,"€ 358,654 (£ 300,734, $365,508)","€ 18,650,000 (£ 15,638,183, $19,006,435)",100%,2020-2021
82,Eibar,es La Liga,74,"€ 358,462 (£ 300,573, $365,312)","€ 18,640,000 (£ 15,629,794, $18,996,243)",100%,2020-2021
83,Stuttgart,de Bundesliga,97,"€ 356,154 (£ 298,638, $362,961)","€ 18,520,000 (£ 15,529,175, $18,873,948)",100%,2020-2021
84,Union Berlin,de Bundesliga,84,"€ 332,692 (£ 278,965, $339,051)","€ 17,300,000 (£ 14,506,197, $17,630,631)",100%,2020-2021
85,Huesca,es La Liga,81,"€ 330,962 (£ 277,514, $337,287)","€ 17,210,000 (£ 14,430,730, $17,538,912)",98%,2020-2021
86,Montpellier,fr Ligue 1,87,"€ 304,038 (£ 254,939, $309,849)","€ 15,810,000 (£ 13,256,820, $16,112,152)",86%,2020-2021
87,Freiburg,de Bundesliga,77,"€ 278,269 (£ 233,331, $283,587)","€ 14,470,000 (£ 12,133,218, $14,746,547)",100%,2020-2021
88,Angers,fr Ligue 1,94,"€ 273,846 (£ 229,622, $279,080)","€ 14,240,000 (£ 11,940,359, $14,512,148)",84%,2020-2021
89,Strasbourg,fr Ligue 1,76,"€ 269,615 (£ 226,075, $274,768)","€ 14,020,000 (£ 11,755,886, $14,287,947)",75%,2020-2021
90,Elche,es La Liga,72,"€ 259,712 (£ 217,770, $264,675)","€ 13,505,000 (£ 11,324,057, $13,763,102)",97%,2020-2021
91,Dijon,fr Ligue 1,83,"€ 205,192 (£ 172,055, $209,114)","€ 10,670,000 (£ 8,946,884, $10,873,920)",85%,2020-2021
92,Brest,fr Ligue 1,81,"€ 192,885 (£ 161,735, $196,571)","€ 10,030,000 (£ 8,410,241, $10,221,691)",89%,2020-2021
93,Arminia,de Bundesliga,87,"€ 184,423 (£ 154,640, $187,948)","€ 9,590,000 (£ 8,041,296, $9,773,282)",100%,2020-2021
94,Metz,fr Ligue 1,87,"€ 183,846 (£ 154,157, $187,360)","€ 9,560,000 (£ 8,016,140, $9,742,707)",90%,2020-2021
95,Reims,fr Ligue 1,72,"€ 183,462 (£ 153,834, $186,968)","€ 9,540,000 (£ 7,999,367, $9,722,323)",76%,2020-2021
96,Lorient,fr Ligue 1,85,"€ 179,423 (£ 150,448, $182,852)","€ 9,330,000 (£ 7,823,284, $9,508,312)",96%,2020-2021
97,Lens,fr Ligue 1,83,"€ 163,462 (£ 137,064, $166,586)","€ 8,500,000 (£ 7,127,325, $8,662,447)",96%,2020-2021
98,Nîmes,fr Ligue 1,90,"€ 159,615 (£ 133,839, $162,666)","€ 8,300,000 (£ 6,959,619, $8,458,630)",80%,2020-2021
1,Paris S-G,fr Ligue 1,108,"€ 8,321,154 (£ 6,977,357, $8,480,185)","€ 432,700,000 (£ 362,822,570, $440,969,630)",30%,2021-2022
2,Real Madrid,es La Liga,77,"€ 6,203,654 (£ 5,201,816, $6,322,216)","€ 322,590,000 (£ 270,494,419, $328,755,245)",10%,2021-2022
3,Manchester Utd,eng Premier League,82,"€ 5,477,771 (£ 4,593,269, $5,581,838)","€ 284,844,078 (£ 238,850,000, $290,255,583)",5%,2021-2022
4,Barcelona,es La Liga,94,"€ 4,860,481 (£ 4,075,554, $4,953,373)","€ 252,745,000 (£ 211,928,796, $257,575,384)",33%,2021-2022
5,Bayern Munich,de Bundesliga,79,"€ 4,588,654 (£ 3,847,625, $4,676,351)","€ 238,610,000 (£ 200,076,486, $243,170,244)",27%,2021-2022
6,Chelsea,eng Premier League,81,"€ 4,033,850 (£ 3,382,500, $4,110,486)","€ 209,760,207 (£ 175,890,000, $213,745,254)",2%,2021-2022
7,Juventus,it Serie A,76,"€ 3,479,808 (£ 2,917,848, $3,546,313)","€ 180,950,000 (£ 151,728,092, $184,408,264)",0%,2021-2022
8,Manchester City,eng Premier League,67,"€ 3,475,684 (£ 2,914,462, $3,541,715)","€ 180,735,566 (£ 151,552,000, $184,169,203)",8%,2021-2022
9,Liverpool,eng Premier League,83,"€ 3,311,936 (£ 2,777,154, $3,374,856)","€ 172,220,653 (£ 144,412,000, $175,492,521)",6%,2021-2022
10,Atlético Madrid,es La Liga,70,"€ 3,217,885 (£ 2,698,223, $3,279,384)","€ 167,330,000 (£ 140,307,605, $170,527,961)",33%,2021-2022
11,Inter,it Serie A,81,"€ 2,950,769 (£ 2,474,245, $3,007,163)","€ 153,440,000 (£ 128,660,726, $156,372,498)",9%,2021-2022
12,Arsenal,eng Premier League,70,"€ 2,622,954 (£ 2,199,423, $2,672,786)","€ 136,393,624 (£ 114,370,000, $138,984,848)",6%,2021-2022
13,Tottenham,eng Premier League,67,"€ 2,527,090 (£ 2,119,038, $2,575,100)","€ 131,408,702 (£ 110,190,000, $133,905,224)",10%,2021-2022
14,Everton,eng Premier League,86,"€ 2,125,930 (£ 1,782,654, $2,166,319)","€ 110,548,361 (£ 92,698,000, $112,648,575)",22%,2021-2022
15,Villarreal,es La Liga,78,"€ 2,039,615 (£ 1,710,235, $2,078,596)","€ 106,060,000 (£ 88,932,198, $108,086,988)",19%,2021-2022
16,Napoli,it Serie A,78,"€ 1,989,231 (£ 1,667,987, $2,027,248)","€ 103,440,000 (£ 86,735,304, $105,416,919)",8%,2021-2022
17,Roma,it Serie A,93,"€ 1,914,423 (£ 1,605,260, $1,951,011)","€ 99,550,000 (£ 83,473,512, $101,452,572)",11%,2021-2022
18,Sevilla,es La Liga,85,"€ 1,908,462 (£ 1,600,261, $1,944,935)","€ 99,240,000 (£ 83,213,571, $101,136,644)",74%,2021-2022
19,Dortmund,de Bundesliga,95,"€ 1,735,962 (£ 1,455,618, $1,769,139)","€ 90,270,000 (£ 75,692,148, $91,995,216)",65%,2021-2022
20,West Ham,eng Premier League,77,"€ 1,709,863 (£ 1,433,769, $1,742,347)","€ 88,912,857 (£ 74,556,000, $90,602,030)",4%,2021-2022
21,Leicester City,eng Premier League,82,"€ 1,705,597 (£ 1,430,192, $1,738,000)","€ 88,691,036 (£ 74,370,000, $90,376,000)",23%,2021-2022
22,Milan,it Serie A,86,"€ 1,684,423 (£ 1,412,403, $1,716,615)","€ 87,590,000 (£ 73,444,949, $89,263,995)",2%,2021-2022
23,Crystal Palace,eng Premier League,78,"€ 1,673,031 (£ 1,402,885, $1,704,815)","€ 86,997,594 (£ 72,950,000, $88,650,389)",31%,2021-2022
24,Aston Villa,eng Premier League,66,"€ 1,639,547 (£ 1,374,808, $1,670,695)","€ 85,256,450 (£ 71,490,000, $86,876,165)",12%,2021-2022
25,Newcastle Utd,eng Premier League,83,"€ 1,572,580 (£ 1,318,654, $1,602,456)","€ 81,774,162 (£ 68,570,000, $83,327,721)",7%,2021-2022
26,Lazio,it Serie A,90,"€ 1,508,462 (£ 1,264,858, $1,537,291)","€ 78,440,000 (£ 65,772,599, $79,939,123)",4%,2021-2022
27,Valencia,es La Liga,80,"€ 1,323,462 (£ 1,109,734, $1,348,755)","€ 68,820,000 (£ 57,706,147, $70,135,269)",71%,2021-2022
28,Lyon,fr Ligue 1,88,"€ 1,314,423 (£ 1,102,155, $1,339,544)","€ 68,350,000 (£ 57,312,045, $69,656,285)",69%,2021-2022
29,Wolves,eng Premier League,76,"€ 1,313,427 (£ 1,101,346, $1,338,379)","€ 68,298,179 (£ 57,270,000, $69,595,717)",29%,2021-2022
30,Athletic Club,es La Liga,78,"€ 1,232,692 (£ 1,033,623, $1,256,251)","€ 64,100,000 (£ 53,748,389, $65,325,058)",96%,2021-2022
31,Southampton,eng Premier League,81,"€ 1,205,866 (£ 1,011,154, $1,228,776)","€ 62,705,051 (£ 52,580,000, $63,896,331)",26%,2021-2022
32,Wolfsburg,de Bundesliga,93,"€ 1,183,269 (£ 992,181, $1,205,883)","€ 61,530,000 (£ 51,593,421, $62,705,941)",98%,2021-2022
33,Fiorentina,it Serie A,85,"€ 1,128,846 (£ 946,547, $1,150,420)","€ 58,700,000 (£ 49,220,441, $59,821,859)",13%,2021-2022
34,Marseille,fr Ligue 1,89,"€ 1,071,346 (£ 898,333, $1,091,821)","€ 55,710,000 (£ 46,713,299, $56,774,712)",72%,2021-2022
35,Brighton,eng Premier League,76,"€ 1,065,740 (£ 893,654, $1,085,987)","€ 55,418,481 (£ 46,470,000, $56,471,332)",24%,2021-2022
36,RB Leipzig,de Bundesliga,85,"€ 1,038,846 (£ 871,081, $1,058,700)","€ 54,020,000 (£ 45,296,220, $55,052,414)",59%,2021-2022
37,Torino,it Serie A,88,"€ 1,029,808 (£ 863,502, $1,049,489)","€ 53,550,000 (£ 44,902,122, $54,573,434)",17%,2021-2022
38,Monaco,fr Ligue 1,88,"€ 1,016,154 (£ 852,053, $1,035,574)","€ 52,840,000 (£ 44,306,780, $53,849,858)",77%,2021-2022
39,Leverkusen,de Bundesliga,84,"€ 995,962 (£ 835,122, $1,014,996)","€ 51,790,000 (£ 43,426,351, $52,779,797)",71%,2021-2022
40,Real Sociedad,es La Liga,80,"€ 970,192 (£ 813,514, $988,734)","€ 50,450,000 (£ 42,302,748, $51,414,186)",96%,2021-2022
41,Watford,eng Premier League,88,"€ 949,006 (£ 795,769, $967,036)","€ 49,348,326 (£ 41,380,000, $50,285,851)",36%,2021-2022
42,Betis,es La Liga,83,"€ 922,500 (£ 773,524, $940,131)","€ 47,970,000 (£ 40,223,247, $48,886,789)",96%,2021-2022
43,Gladbach,de Bundesliga,80,"€ 909,231 (£ 762,398, $926,608)","€ 47,280,000 (£ 39,644,677, $48,183,602)",73%,2021-2022
44,Burnley,eng Premier League,72,"€ 906,349 (£ 760,000, $923,568)","€ 47,130,158 (£ 39,520,000, $48,025,544)",22%,2021-2022
45,Atalanta,it Serie A,76,"€ 891,346 (£ 747,401, $908,381)","€ 46,350,000 (£ 38,864,860, $47,235,829)",7%,2021-2022
46,Genoa,it Serie A,106,"€ 813,462 (£ 682,094, $829,008)","€ 42,300,000 (£ 35,468,904, $43,108,428)",38%,2021-2022
47,Hoffenheim,de Bundesliga,96,"€ 774,423 (£ 649,360, $789,224)","€ 40,270,000 (£ 33,766,731, $41,039,628)",95%,2021-2022
48,Celta Vigo,es La Liga,64,"€ 738,077 (£ 618,884, $752,183)","€ 38,380,000 (£ 32,181,951, $39,113,509)",86%,2021-2022
49,Getafe,es La Liga,81,"€ 730,865 (£ 612,837, $744,833)","€ 38,005,000 (£ 31,867,512, $38,731,337)",95%,2021-2022
50,Sampdoria,it Serie A,86,"€ 721,154 (£ 604,694, $734,936)","€ 37,500,000 (£ 31,444,064, $38,216,686)",14%,2021-2022
51,Hertha BSC,de Bundesliga,92,"€ 720,385 (£ 604,049, $734,152)","€ 37,460,000 (£ 31,410,525, $38,175,924)",99%,2021-2022
52,Norwich City,eng Premier League,82,"€ 718,291 (£ 602,308, $731,937)","€ 37,351,130 (£ 31,320,000, $38,060,731)",28%,2021-2022
53,Empoli,it Serie A,87,"€ 710,192 (£ 595,502, $723,765)","€ 36,930,000 (£ 30,966,112, $37,635,795)",16%,2021-2022
54,Eint Frankfurt,de Bundesliga,97,"€ 692,500 (£ 580,667, $705,735)","€ 36,010,000 (£ 30,194,688, $36,698,211)",94%,2021-2022
55,Cagliari,it Serie A,86,"€ 649,231 (£ 544,385, $661,639)","€ 33,760,000 (£ 28,308,043, $34,405,212)",33%,2021-2022
56,Bologna,it Serie A,90,"€ 579,423 (£ 485,851, $590,497)","€ 30,130,000 (£ 25,264,256, $30,705,835)",30%,2021-2022
57,Espanyol,es La Liga,78,"€ 568,462 (£ 476,660, $579,326)","€ 29,560,000 (£ 24,786,307, $30,124,941)",100%,2021-2022
58,Nice,fr Ligue 1,82,"€ 559,615 (£ 469,242, $570,311)","€ 29,100,000 (£ 24,400,594, $29,656,151)",78%,2021-2022
59,Köln,de Bundesliga,90,"€ 556,538 (£ 466,662, $567,175)","€ 28,940,000 (£ 24,266,432, $29,493,089)",99%,2021-2022
60,Leeds United,eng Premier League,70,"€ 546,057 (£ 457,885, $556,431)","€ 28,394,966 (£ 23,810,000, $28,934,417)",27%,2021-2022
61,Lille,fr Ligue 1,77,"€ 540,385 (£ 453,117, $550,712)","€ 28,100,000 (£ 23,562,083, $28,637,040)",75%,2021-2022
62,Sassuolo,it Serie A,86,"€ 533,846 (£ 447,634, $544,049)","€ 27,760,000 (£ 23,276,991, $28,290,540)",17%,2021-2022
63,Bordeaux,fr Ligue 1,93,"€ 532,115 (£ 446,183, $542,285)","€ 27,670,000 (£ 23,201,527, $28,198,819)",81%,2021-2022
64,Granada,es La Liga,84,"€ 498,846 (£ 418,287, $508,380)","€ 25,940,000 (£ 21,750,907, $26,435,758)",100%,2021-2022
65,Brentford,eng Premier League,90,"€ 484,594 (£ 406,346, $493,801)","€ 25,198,890 (£ 21,130,000, $25,677,627)",36%,2021-2022
66,Augsburg,de Bundesliga,89,"€ 461,538 (£ 387,004, $470,359)","€ 24,000,000 (£ 20,124,202, $24,458,682)",93%,2021-2022
67,Rennes,fr Ligue 1,83,"€ 460,000 (£ 385,714, $468,791)","€ 23,920,000 (£ 20,057,119, $24,377,150)",81%,2021-2022
68,Alavés,es La Liga,72,"€ 455,288 (£ 381,763, $463,990)","€ 23,675,000 (£ 19,851,686, $24,127,471)",89%,2021-2022
69,Salernitana,it Serie A,102,"€ 443,269 (£ 371,685, $451,741)","€ 23,050,000 (£ 19,327,618, $23,490,524)",48%,2021-2022
70,Venezia,it Serie A,105,"€ 440,962 (£ 369,750, $449,389)","€ 22,930,000 (£ 19,226,999, $23,368,232)",35%,2021-2022
71,Udinese,it Serie A,86,"€ 430,962 (£ 361,365, $439,198)","€ 22,410,000 (£ 18,790,971, $22,838,290)",38%,2021-2022
72,Hellas Verona,it Serie A,85,"€ 413,269 (£ 346,530, $421,168)","€ 21,490,000 (£ 18,019,544, $21,900,711)",22%,2021-2022
73,Union Berlin,de Bundesliga,90,"€ 412,500 (£ 345,885, $420,384)","€ 21,450,000 (£ 17,986,007, $21,859,946)",100%,2021-2022
74,Mallorca,es La Liga,83,"€ 411,346 (£ 344,917, $419,208)","€ 21,390,000 (£ 17,935,696, $21,798,801)",98%,2021-2022
