,,,,,,Rk,Squad,Competition,# of Players,Average Age,Possession,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,xG: Expected Goals,npxG: Non-Penalty xG,xAG: Exp. Assisted Goals,npxG + xAG,Progressive Carries,Progressive Passes,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90
29,Espanyol,es La Liga,31,27.7,47.4,38,418,"3,420",38.0,25,17,42,21,4,4,107,9,38.6,35.6,27.3,62.9,561,1240,0.66,0.45,1.11,0.55,1.00,1.02,0.72,1.74,0.94,1.66
30,Everton,eng Premier League,24,25.5,49.0,38,418,"3,420",38.0,42,32,74,41,1,1,76,3,50.8,50.0,38.1,88.1,623,1430,1.11,0.84,1.95,1.08,1.92,1.34,1.00,2.34,1.32,2.32
31,Fiorentina,it Serie A,33,25.1,47.4,38,418,"3,420",38.0,48,30,78,39,9,11,105,5,53.6,45.4,34.5,79.8,857,1446,1.26,0.79,2.05,1.03,1.82,1.41,0.91,2.32,1.19,2.10
32,Freiburg,de Bundesliga,26,26.4,48.1,34,374,"3,060",34.0,46,27,73,41,5,6,43,2,46.7,42.0,33.0,75.0,537,1128,1.35,0.79,2.15,1.21,2.00,1.37,0.97,2.34,1.24,2.21
33,Genoa,it Serie A,34,26.8,49.5,38,418,"3,420",38.0,46,28,74,35,11,16,107,10,48.7,36.2,27.6,63.7,583,1280,1.21,0.74,1.95,0.92,1.66,1.28,0.73,2.01,0.95,1.68
34,Getafe,es La Liga,30,27.5,45.0,38,418,"3,420",38.0,42,31,73,36,6,7,135,5,41.6,36.1,27.9,64.0,416,1196,1.11,0.82,1.92,0.95,1.76,1.09,0.73,1.83,0.95,1.69
35,Gladbach,de Bundesliga,25,26.3,52.4,34,374,"3,060",34.0,64,53,117,60,4,6,77,3,72.0,67.2,53.6,120.8,650,1305,1.88,1.56,3.44,1.76,3.32,2.12,1.58,3.69,1.98,3.55
36,Granada,es La Liga,27,26.8,43.8,38,418,"3,420",38.0,50,34,84,45,5,5,109,1,44.9,40.9,30.5,71.4,511,1009,1.32,0.89,2.21,1.18,2.08,1.18,0.80,1.98,1.08,1.88
37,Hellas Verona,it Serie A,30,26.1,49.8,38,418,"3,420",38.0,45,27,72,37,8,9,87,7,50.5,43.6,34.5,78.1,728,1575,1.18,0.71,1.89,0.97,1.68,1.33,0.91,2.24,1.15,2.06
38,Hertha BSC,de Bundesliga,32,26.2,44.7,34,374,"3,060",34.0,45,35,80,42,3,3,78,4,43.1,40.7,32.7,73.4,546,1073,1.32,1.03,2.35,1.24,2.26,1.27,0.96,2.23,1.20,2.16
39,Hoffenheim,de Bundesliga,31,26.0,51.6,34,374,"3,060",34.0,52,36,88,49,3,4,66,2,56.1,53.0,40.2,93.2,598,1261,1.53,1.06,2.59,1.44,2.50,1.65,1.18,2.83,1.56,2.74
40,Inter,it Serie A,29,27.7,54.2,38,418,"3,420",38.0,80,57,137,70,10,11,104,6,69.4,60.8,44.0,104.7,797,1820,2.11,1.50,3.61,1.84,3.34,1.83,1.16,2.98,1.60,2.76
41,Juventus,it Serie A,30,28.6,58.1,38,418,"3,420",38.0,73,47,120,60,13,14,87,3,71.1,60.1,45.5,105.6,879,1746,1.92,1.24,3.16,1.58,2.82,1.87,1.20,3.07,1.58,2.78
42,Köln,de Bundesliga,29,25.6,46.7,34,374,"3,060",34.0,50,38,88,48,2,4,79,4,48.9,46.3,35.6,81.9,494,1158,1.47,1.12,2.59,1.41,2.53,1.44,1.05,2.49,1.36,2.41
43,Lazio,it Serie A,27,27.9,50.4,38,418,"3,420",38.0,77,45,122,62,15,18,99,2,68.0,53.9,42.5,96.4,935,1668,2.03,1.18,3.21,1.63,2.82,1.79,1.12,2.91,1.42,2.54
44,Lecce,it Serie A,30,28.7,44.8,38,418,"3,420",38.0,52,30,82,41,11,15,98,5,54.7,43.5,32.6,76.1,752,1356,1.37,0.79,2.16,1.08,1.87,1.44,0.86,2.30,1.15,2.00
45,Leganés,es La Liga,29,26.9,43.9,38,418,"3,420",38.0,30,19,49,27,3,5,127,4,39.9,35.9,27.7,63.7,498,1165,0.79,0.50,1.29,0.71,1.21,1.05,0.73,1.78,0.95,1.68
46,Leicester City,eng Premier League,24,26.1,57.1,38,418,"3,420",38.0,65,48,113,60,5,7,43,3,62.2,56.7,44.9,101.6,739,1612,1.71,1.26,2.97,1.58,2.84,1.64,1.18,2.82,1.49,2.67
47,Levante,es La Liga,29,27.7,48.3,38,418,"3,420",38.0,45,28,73,40,5,5,79,5,48.1,44.2,36.3,80.5,711,1358,1.18,0.74,1.92,1.05,1.79,1.27,0.95,2.22,1.16,2.12
48,Leverkusen,de Bundesliga,24,26.1,63.2,34,374,"3,060",34.0,57,48,105,55,2,2,61,6,59.1,57.5,48.6,106.1,761,1471,1.68,1.41,3.09,1.62,3.03,1.74,1.43,3.17,1.69,3.12
49,Lille,fr Ligue 1,25,24.3,52.9,28,308,"2,520",28.0,35,25,60,30,5,8,51,3,40.3,34.0,24.5,58.5,544,1077,1.25,0.89,2.14,1.07,1.96,1.44,0.88,2.31,1.21,2.09
50,Liverpool,eng Premier League,24,26.6,62.9,38,418,"3,420",38.0,83,69,152,78,5,5,38,1,68.9,65.0,53.0,118.0,967,1941,2.18,1.82,4.00,2.05,3.87,1.81,1.39,3.21,1.71,3.10
51,Lyon,fr Ligue 1,27,24.8,56.2,28,308,"2,520",28.0,42,29,71,37,5,6,50,4,37.6,33.0,25.2,58.2,563,1208,1.50,1.04,2.54,1.32,2.36,1.34,0.90,2.24,1.18,2.08
52,Mainz 05,de Bundesliga,25,24.6,43.2,34,374,"3,060",34.0,42,34,76,39,3,3,75,3,48.2,45.8,37.4,83.2,524,1146,1.24,1.00,2.24,1.15,2.15,1.42,1.10,2.52,1.35,2.45
53,Mallorca,es La Liga,32,26.8,45.0,38,418,"3,420",38.0,39,21,60,31,8,10,93,5,41.1,33.3,25.4,58.7,740,1210,1.03,0.55,1.58,0.82,1.37,1.08,0.67,1.75,0.88,1.55
54,Manchester City,eng Premier League,24,26.9,66.2,38,418,"3,420",38.0,100,69,169,94,6,11,64,4,92.0,83.6,68.4,152.0,1199,2460,2.63,1.82,4.45,2.47,4.29,2.42,1.80,4.22,2.20,4.00
55,Manchester Utd,eng Premier League,29,24.8,55.8,38,418,"3,420",38.0,65,43,108,55,10,14,73,0,62.2,51.2,38.5,89.7,926,1788,1.71,1.13,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36
56,Marseille,fr Ligue 1,23,27.1,53.5,28,308,"2,520",28.0,38,28,66,34,4,6,68,3,36.2,31.6,25.8,57.5,639,1107,1.36,1.00,2.36,1.21,2.21,1.29,0.92,2.22,1.13,2.05
57,Metz,fr Ligue 1,24,25.9,45.3,28,308,"2,520",28.0,27,20,47,25,2,4,45,4,27.1,24.0,18.0,41.9,578,845,0.96,0.71,1.68,0.89,1.61,0.97,0.64,1.61,0.86,1.50
58,Milan,it Serie A,32,24.6,54.9,38,418,"3,420",38.0,60,38,98,52,8,9,97,6,62.8,56.0,46.0,101.9,816,1717,1.58,1.00,2.58,1.37,2.37,1.65,1.21,2.86,1.47,2.68
59,Monaco,fr Ligue 1,28,26.0,50.9,28,308,"2,520",28.0,44,29,73,40,4,4,61,10,48.9,45.7,33.1,78.8,646,1302,1.57,1.04,2.61,1.43,2.46,1.74,1.18,2.93,1.63,2.82
60,Montpellier,fr Ligue 1,27,28.5,47.6,28,308,"2,520",28.0,33,19,52,31,2,5,57,5,35.3,31.3,23.2,54.6,425,1104,1.18,0.68,1.86,1.11,1.79,1.26,0.83,2.09,1.12,1.95
61,Nantes,fr Ligue 1,29,25.4,48.0,28,308,"2,520",28.0,23,16,39,21,2,2,52,2,30.2,28.7,23.6,52.4,548,1034,0.82,0.57,1.39,0.75,1.32,1.08,0.84,1.92,1.03,1.87
62,Napoli,it Serie A,25,26.9,59.2,38,418,"3,420",38.0,60,45,105,55,5,5,73,2,61.7,57.8,46.8,104.6,979,2024,1.58,1.18,2.76,1.45,2.63,1.62,1.23,2.85,1.52,2.75
63,Newcastle Utd,eng Premier League,28,26.5,39.0,38,418,"3,420",38.0,38,29,67,38,0,1,66,3,35.5,34.8,26.9,61.7,537,844,1.00,0.76,1.76,1.00,1.76,0.94,0.71,1.64,0.91,1.62
64,Nice,fr Ligue 1,31,23.9,54.6,28,308,"2,520",28.0,41,30,71,36,5,5,58,7,35.7,31.9,24.9,56.8,499,1260,1.46,1.07,2.54,1.29,2.36,1.28,0.89,2.17,1.14,2.03
65,Nîmes,fr Ligue 1,28,25.4,45.0,28,308,"2,520",28.0,29,20,49,27,2,2,44,6,30.3,28.7,22.2,50.9,421,959,1.04,0.71,1.75,0.96,1.68,1.08,0.79,1.87,1.03,1.82
66,Norwich City,eng Premier League,30,26.0,49.3,38,418,"3,420",38.0,25,18,43,23,2,2,68,3,37.0,35.4,27.4,62.8,673,1169,0.66,0.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65
67,Osasuna,es La Liga,31,27.7,47.4,38,418,"3,420",38.0,46,26,72,38,8,8,110,6,49.4,43.2,34.4,77.6,562,1359,1.21,0.68,1.89,1.00,1.68,1.30,0.91,2.21,1.14,2.04
68,Paderborn 07,de Bundesliga,27,25.7,45.9,34,374,"3,060",34.0,37,26,63,35,2,4,84,3,39.2,36.1,26.8,62.9,682,1009,1.09,0.76,1.85,1.03,1.79,1.15,0.79,1.94,1.06,1.85
69,Paris S-G,fr Ligue 1,31,27.2,65.2,27,297,"2,430",27.0,71,51,122,65,6,8,51,1,74.2,67.9,54.4,122.3,711,1681,2.63,1.89,4.52,2.41,4.30,2.75,2.01,4.76,2.51,4.53
70,Parma,it Serie A,25,28.8,43.8,38,418,"3,420",38.0,53,38,91,49,4,6,81,1,48.4,43.7,33.9,77.6,673,1227,1.39,1.00,2.39,1.29,2.29,1.27,0.89,2.17,1.15,2.04
71,RB Leipzig,de Bundesliga,29,24.2,55.3,34,374,"3,060",34.0,81,58,139,76,5,5,53,3,71.3,67.6,54.4,122.0,759,1700,2.38,1.71,4.09,2.24,3.94,2.10,1.60,3.70,1.99,3.59
72,Real Madrid,es La Liga,26,27.6,58.8,38,418,"3,420",38.0,69,52,121,58,11,11,82,4,67.9,59.2,49.9,109.1,951,1972,1.82,1.37,3.18,1.53,2.89,1.79,1.31,3.10,1.56,2.87
73,Real Sociedad,es La Liga,27,24.8,56.2,38,418,"3,420",38.0,54,38,92,50,4,5,79,2,48.9,45.1,35.4,80.5,737,1588,1.42,1.00,2.42,1.32,2.32,1.29,0.93,2.22,1.19,2.12
74,Reims,fr Ligue 1,26,25.3,48.9,28,308,"2,520",28.0,26,16,42,21,5,5,57,5,30.6,26.7,22.1,48.9,597,1042,0.93,0.57,1.50,0.75,1.32,1.09,0.79,1.88,0.96,1.75
75,Rennes,fr Ligue 1,26,25.5,49.6,28,308,"2,520",28.0,37,26,63,34,3,5,51,1,37.1,33.4,25.6,59.0,557,936,1.32,0.93,2.25,1.21,2.14,1.33,0.91,2.24,1.19,2.11
76,Roma,it Serie A,31,26.9,52.7,38,418,"3,420",38.0,73,47,120,61,12,14,111,7,73.2,62.8,48.6,111.3,944,1651,1.92,1.24,3.16,1.61,2.84,1.93,1.28,3.21,1.65,2.93
77,Saint-Étienne,fr Ligue 1,31,27.0,48.2,28,308,"2,520",28.0,28,20,48,23,5,5,61,3,31.4,27.6,20.2,47.8,515,979,1.00,0.71,1.71,0.82,1.54,1.12,0.72,1.84,0.99,1.71
78,Sampdoria,it Serie A,31,26.0,42.7,38,418,"3,420",38.0,48,25,73,39,9,12,111,7,50.2,40.8,30.8,71.6,613,1369,1.26,0.66,1.92,1.03,1.68,1.32,0.81,2.13,1.07,1.89
79,Sassuolo,it Serie A,31,26.4,57.5,38,418,"3,420",38.0,69,49,118,64,5,6,99,3,52.9,48.2,39.2,87.4,902,1590,1.82,1.29,3.11,1.68,2.97,1.39,1.03,2.42,1.27,2.30
80,Schalke 04,de Bundesliga,29,24.6,49.0,34,374,"3,060",34.0,35,25,60,33,2,2,64,2,37.8,36.2,25.5,61.7,603,1201,1.03,0.74,1.76,0.97,1.71,1.11,0.75,1.86,1.07,1.82
81,Sevilla,es La Liga,26,27.7,57.9,38,418,"3,420",38.0,53,35,88,46,7,7,97,1,53.2,47.9,38.4,86.3,803,1823,1.39,0.92,2.32,1.21,2.13,1.40,1.01,2.41,1.26,2.27
82,Sheffield Utd,eng Premier League,26,26.9,43.1,38,418,"3,420",38.0,36,25,61,35,1,1,63,2,43.0,42.2,34.0,76.3,493,1352,0.95,0.66,1.61,0.92,1.58,1.13,0.90,2.03,1.11,2.01
83,Southampton,eng Premier League,25,25.9,48.9,38,418,"3,420",38.0,51,32,83,49,2,5,55,4,56.1,52.1,36.4,88.5,628,1335,1.34,0.84,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33
84,SPAL,it Serie A,34,27.5,46.9,38,418,"3,420",38.0,27,17,44,22,5,7,98,4,40.7,35.2,26.5,61.7,696,1236,0.71,0.45,1.16,0.58,1.03,1.07,0.70,1.77,0.93,1.62
85,Strasbourg,fr Ligue 1,25,25.8,49.6,27,297,"2,430",27.0,32,21,53,29,3,4,47,1,34.2,31.1,22.9,54.0,492,982,1.19,0.78,1.96,1.07,1.85,1.27,0.85,2.11,1.15,2.00
86,Torino,it Serie A,27,27.3,47.4,38,418,"3,420",38.0,44,29,73,37,7,8,96,7,44.8,39.4,30.3,69.6,843,1220,1.16,0.76,1.92,0.97,1.74,1.18,0.80,1.98,1.04,1.83
87,Tottenham,eng Premier League,29,26.7,52.0,38,418,"3,420",38.0,56,39,95,53,3,4,84,3,47.9,44.7,32.6,77.3,768,1410,1.47,1.03,2.50,1.39,2.42,1.26,0.86,2.12,1.18,2.03
88,Toulouse,fr Ligue 1,30,25.1,44.2,28,308,"2,520",28.0,21,14,35,17,4,6,49,5,31.7,27.2,19.6,46.8,556,949,0.75,0.50,1.25,0.61,1.11,1.13,0.70,1.84,0.97,1.67
89,Udinese,it Serie A,25,26.5,44.7,38,418,"3,420",38.0,37,26,63,37,0,0,77,3,41.6,41.6,33.5,75.2,709,1274,0.97,0.68,1.66,0.97,1.66,1.10,0.88,1.98,1.10,1.98
90,Union Berlin,de Bundesliga,26,27.7,41.9,34,374,"3,060",34.0,38,27,65,34,4,5,71,5,41.4,37.6,28.0,65.7,387,944,1.12,0.79,1.91,1.00,1.79,1.22,0.82,2.04,1.11,1.93
91,Valencia,es La Liga,28,27.0,49.0,38,418,"3,420",38.0,45,34,79,40,5,8,80,8,43.3,37.2,31.7,68.9,671,1378,1.18,0.89,2.08,1.05,1.95,1.14,0.83,1.97,0.98,1.81
92,Valladolid,es La Liga,30,27.1,44.7,38,418,"3,420",38.0,31,19,50,28,3,6,84,0,36.6,32.1,24.0,56.1,510,1106,0.82,0.50,1.32,0.74,1.24,0.96,0.63,1.59,0.85,1.48
93,Villarreal,es La Liga,25,27.6,52.9,38,418,"3,420",38.0,62,40,102,52,10,11,78,1,63.6,55.2,43.1,98.3,694,1483,1.63,1.05,2.68,1.37,2.42,1.67,1.13,2.81,1.45,2.59
94,Watford,eng Premier League,26,28.9,42.9,38,418,"3,420",38.0,35,21,56,28,7,8,80,3,48.9,42.6,31.4,74.0,578,1168,0.92,0.55,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95
95,Werder Bremen,de Bundesliga,30,26.7,48.8,34,374,"3,060",34.0,40,30,70,37,3,6,80,4,39.4,34.7,25.8,60.5,509,1309,1.18,0.88,2.06,1.09,1.97,1.16,0.76,1.92,1.02,1.78
96,West Ham,eng Premier League,29,27.4,44.1,38,418,"3,420",38.0,49,36,85,45,4,4,64,1,48.6,45.4,36.7,82.2,666,1377,1.29,0.95,2.24,1.18,2.13,1.28,0.97,2.24,1.20,2.16
97,Wolfsburg,de Bundesliga,26,26.0,48.4,34,374,"3,060",34.0,48,33,81,44,4,4,71,4,52.8,49.7,37.9,87.6,620,1247,1.41,0.97,2.38,1.29,2.26,1.55,1.11,2.67,1.46,2.58
98,Wolves,eng Premier League,21,26.6,48.3,38,418,"3,420",38.0,49,34,83,45,4,4,61,2,54.1,51.0,37.5,88.5,858,1338,1.29,0.89,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33
1,Alavés,es La Liga,30,28.7,42.8,38,418,"3,420",38.0,35,21,56,30,5,8,96,8,42.6,36.4,27.4,63.7,404,938,0.92,0.55,1.47,0.79,1.34,1.12,0.72,1.84,0.96,1.68
2,Angers,fr Ligue 1,31,27.9,46.4,38,418,"3,420",38.0,40,23,63,35,5,6,65,2,41.6,36.9,26.4,63.3,614,1435,1.05,0.61,1.66,0.92,1.53,1.10,0.70,1.79,0.97,1.67
3,Arminia,de Bundesliga,26,26.0,42.3,34,374,"3,060",34.0,23,16,39,22,1,2,52,1,32.9,31.3,23.9,55.2,358,880,0.68,0.47,1.15,0.65,1.12,0.97,0.70,1.67,0.92,1.62
4,Arsenal,eng Premier League,29,25.9,53.5,38,418,"3,420",38.0,53,38,91,47,6,6,49,5,51.8,47.0,35.1,82.1,758,1760,1.39,1.00,2.39,1.24,2.24,1.36,0.92,2.29,1.24,2.16
5,Aston Villa,eng Premier League,24,25.2,48.5,38,418,"3,420",38.0,52,38,90,47,5,6,71,4,52.5,47.9,37.4,85.3,629,1420,1.37,1.00,2.37,1.24,2.24,1.38,0.98,2.37,1.26,2.25
6,Atalanta,it Serie A,30,27.3,54.6,38,418,"3,420",38.0,90,65,155,84,6,7,67,3,74.7,69.3,55.5,124.7,874,2077,2.37,1.71,4.08,2.21,3.92,1.97,1.46,3.43,1.82,3.28
7,Athletic Club,es La Liga,27,26.6,49.9,38,418,"3,420",38.0,43,31,74,39,4,5,82,3,43.1,39.2,31.3,70.5,685,1496,1.13,0.82,1.95,1.03,1.84,1.13,0.82,1.96,1.03,1.86
8,Atlético Madrid,es La Liga,25,27.3,52.3,38,418,"3,420",38.0,65,54,119,60,5,7,100,0,52.8,47.2,40.6,87.8,694,1604,1.71,1.42,3.13,1.58,3.00,1.39,1.07,2.46,1.24,2.31
9,Augsburg,de Bundesliga,25,27.0,41.4,34,374,"3,060",34.0,35,23,58,33,2,5,71,4,37.3,33.4,25.9,59.3,431,987,1.03,0.68,1.71,0.97,1.65,1.10,0.76,1.86,0.98,1.74
10,Barcelona,es La Liga,25,26.4,65.5,38,418,"3,420",38.0,80,51,131,76,4,8,72,2,73.5,67.1,53.2,120.2,972,2157,2.11,1.34,3.45,2.00,3.34,1.94,1.40,3.33,1.77,3.16
11,Bayern Munich,de Bundesliga,29,27.3,60.7,34,374,"3,060",34.0,98,75,173,89,9,10,44,3,75.9,68.1,55.2,123.3,829,2084,2.88,2.21,5.09,2.62,4.82,2.23,1.62,3.86,2.00,3.63
12,Benevento,it Serie A,29,28.7,42.6,38,418,"3,420",38.0,40,26,66,35,5,7,95,5,40.6,35.0,27.6,62.6,512,1096,1.05,0.68,1.74,0.92,1.61,1.07,0.73,1.79,0.92,1.65
13,Betis,es La Liga,25,27.9,53.6,38,418,"3,420",38.0,50,35,85,42,8,11,93,8,49.1,40.5,33.4,73.9,694,1441,1.32,0.92,2.24,1.11,2.03,1.29,0.88,2.17,1.07,1.94
14,Bologna,it Serie A,37,27.2,50.8,38,418,"3,420",38.0,49,38,87,46,3,4,82,4,54.6,51.1,39.0,90.1,706,1516,1.29,1.00,2.29,1.21,2.21,1.44,1.03,2.47,1.34,2.37
15,Bordeaux,fr Ligue 1,28,27.6,49.8,38,418,"3,420",38.0,41,32,73,37,4,4,78,4,43.5,40.4,31.4,71.7,644,1303,1.08,0.84,1.92,0.97,1.82,1.14,0.83,1.97,1.06,1.89
16,Brest,fr Ligue 1,26,24.9,49.3,38,418,"3,420",38.0,48,31,79,45,3,4,62,4,50.0,46.8,36.0,82.8,685,1438,1.26,0.82,2.08,1.18,2.00,1.32,0.95,2.26,1.23,2.18
17,Brighton,eng Premier League,27,25.8,51.1,38,418,"3,420",38.0,39,24,63,33,6,9,49,6,50.9,43.8,33.2,77.0,685,1516,1.03,0.63,1.66,0.87,1.50,1.34,0.87,2.21,1.15,2.03
18,Burnley,eng Premier League,25,28.3,42.1,38,418,"3,420",38.0,32,20,52,29,3,3,48,0,39.3,36.9,27.7,64.6,389,1012,0.84,0.53,1.37,0.76,1.29,1.03,0.73,1.76,0.97,1.70
19,Cádiz,es La Liga,34,28.8,34.8,38,418,"3,420",38.0,33,16,49,29,4,4,81,3,34.7,31.6,20.4,52.0,455,854,0.87,0.42,1.29,0.76,1.18,0.91,0.54,1.45,0.83,1.37
20,Cagliari,it Serie A,32,26.5,44.8,38,418,"3,420",38.0,43,30,73,39,4,5,77,3,47.1,43.4,34.0,77.5,589,1228,1.13,0.79,1.92,1.03,1.82,1.24,0.90,2.14,1.14,2.04
21,Celta Vigo,es La Liga,30,26.6,53.3,38,418,"3,420",38.0,55,39,94,48,7,7,109,5,50.4,44.9,36.7,81.6,514,1308,1.45,1.03,2.47,1.26,2.29,1.33,0.97,2.29,1.18,2.15
22,Chelsea,eng Premier League,27,26.0,60.9,38,418,"3,420",38.0,56,38,94,48,8,10,51,3,62.4,54.5,41.5,96.0,895,1798,1.47,1.00,2.47,1.26,2.26,1.64,1.09,2.73,1.43,2.53
23,Crotone,it Serie A,31,27.8,46.3,38,418,"3,420",38.0,44,27,71,35,9,9,89,4,40.4,33.4,23.9,57.2,582,1217,1.16,0.71,1.87,0.92,1.63,1.06,0.63,1.69,0.88,1.51
24,Crystal Palace,eng Premier League,24,29.1,40.6,38,418,"3,420",38.0,39,29,68,36,3,4,56,2,34.1,31.0,23.6,54.6,526,1132,1.03,0.76,1.79,0.95,1.71,0.90,0.62,1.52,0.82,1.44
25,Dijon,fr Ligue 1,33,25.7,46.2,38,418,"3,420",38.0,25,15,40,22,3,5,76,5,33.7,29.9,22.6,52.6,528,1204,0.66,0.39,1.05,0.58,0.97,0.89,0.60,1.48,0.79,1.38
26,Dortmund,de Bundesliga,26,25.6,59.6,34,374,"3,060",34.0,74,57,131,71,3,7,44,1,66.2,60.4,51.2,111.5,763,1745,2.18,1.68,3.85,2.09,3.76,1.95,1.50,3.45,1.78,3.28
27,Eibar,es La Liga,30,28.2,49.3,38,418,"3,420",38.0,29,20,49,25,4,9,71,3,45.2,38.3,29.9,68.2,507,1295,0.76,0.53,1.29,0.66,1.18,1.19,0.79,1.98,1.01,1.79
28,Eint Frankfurt,de Bundesliga,25,27.2,53.7,34,374,"3,060",34.0,63,52,115,55,8,8,82,1,58.5,52.2,44.0,96.2,664,1548,1.85,1.53,3.38,1.62,3.15,1.72,1.29,3.01,1.54,2.83
29,Elche,es La Liga,30,28.1,47.5,38,418,"3,420",38.0,33,25,58,31,2,3,99,3,29.9,27.5,21.8,49.4,500,927,0.87,0.66,1.53,0.82,1.47,0.79,0.57,1.36,0.72,1.30
30,Everton,eng Premier League,29,26.3,46.4,38,418,"3,420",38.0,45,32,77,41,4,5,59,2,45.7,41.9,30.7,72.6,604,1184,1.18,0.84,2.03,1.08,1.92,1.20,0.81,2.01,1.10,1.91
31,Fiorentina,it Serie A,30,26.6,46.3,38,418,"3,420",38.0,44,31,75,38,6,6,86,5,44.9,40.2,31.6,71.8,637,1353,1.16,0.82,1.97,1.00,1.82,1.18,0.83,2.01,1.06,1.89
32,Freiburg,de Bundesliga,24,26.2,47.3,34,374,"3,060",34.0,51,34,85,45,6,6,62,0,45.5,40.9,29.5,70.4,463,1170,1.50,1.00,2.50,1.32,2.32,1.34,0.87,2.21,1.20,2.07
33,Fulham,eng Premier League,28,25.2,49.7,38,418,"3,420",38.0,26,18,44,23,3,6,67,3,40.5,35.9,26.3,62.2,727,1354,0.68,0.47,1.16,0.61,1.08,1.07,0.69,1.76,0.95,1.64
34,Genoa,it Serie A,34,28.3,44.8,38,418,"3,420",38.0,46,32,78,42,4,4,87,2,38.8,35.6,26.4,62.0,523,1165,1.21,0.84,2.05,1.11,1.95,1.02,0.69,1.72,0.94,1.63
35,Getafe,es La Liga,31,26.7,43.3,38,418,"3,420",38.0,27,14,41,24,3,5,120,7,34.4,30.5,23.6,54.1,443,1090,0.71,0.37,1.08,0.63,1.00,0.91,0.62,1.53,0.80,1.42
36,Gladbach,de Bundesliga,23,26.9,51.7,34,374,"3,060",34.0,63,44,107,53,10,11,61,2,54.9,46.5,37.1,83.6,613,1371,1.85,1.29,3.15,1.56,2.85,1.62,1.09,2.71,1.37,2.46
37,Granada,es La Liga,34,27.4,41.4,38,418,"3,420",38.0,47,30,77,44,3,5,97,6,41.1,37.3,26.8,64.0,411,975,1.24,0.79,2.03,1.16,1.95,1.08,0.70,1.79,0.98,1.68
38,Hellas Verona,it Serie A,32,26.2,49.8,38,418,"3,420",38.0,38,30,68,35,3,3,91,1,45.3,43.0,33.5,76.5,599,1490,1.00,0.79,1.79,0.92,1.71,1.19,0.88,2.08,1.13,2.01
39,Hertha BSC,de Bundesliga,32,25.4,49.6,34,374,"3,060",34.0,40,29,69,36,4,6,67,3,41.9,37.2,29.1,66.2,589,1176,1.18,0.85,2.03,1.06,1.91,1.23,0.86,2.09,1.09,1.95
40,Hoffenheim,de Bundesliga,30,25.7,51.2,34,374,"3,060",34.0,51,38,89,46,5,6,68,4,51.9,47.3,37.4,84.6,581,1517,1.50,1.12,2.62,1.35,2.47,1.53,1.10,2.62,1.39,2.49
41,Huesca,es La Liga,27,28.0,48.3,38,418,"3,420",38.0,32,23,55,29,3,4,69,2,38.9,36.1,26.7,62.8,618,1185,0.84,0.61,1.45,0.76,1.37,1.02,0.70,1.73,0.95,1.65
42,Inter,it Serie A,25,27.7,52.5,38,418,"3,420",38.0,84,62,146,76,8,9,61,2,74.2,67.2,52.5,119.8,766,1707,2.21,1.63,3.84,2.00,3.63,1.95,1.38,3.34,1.77,3.15
43,Juventus,it Serie A,30,27.7,56.9,38,418,"3,420",38.0,76,59,135,68,8,10,80,6,74.4,67.0,55.1,122.1,949,1768,2.00,1.55,3.55,1.79,3.34,1.96,1.45,3.41,1.76,3.21
44,Köln,de Bundesliga,28,24.9,46.3,34,374,"3,060",34.0,33,23,56,29,4,6,63,1,40.5,35.9,25.5,61.5,429,1131,0.97,0.68,1.65,0.85,1.53,1.19,0.75,1.94,1.06,1.81
45,Lazio,it Serie A,30,29.4,53.0,38,418,"3,420",38.0,59,40,99,53,6,10,107,5,58.2,50.7,39.6,90.2,785,1688,1.55,1.05,2.61,1.39,2.45,1.53,1.04,2.57,1.33,2.37
46,Leeds United,eng Premier League,23,26.1,57.3,38,418,"3,420",38.0,60,45,105,56,4,4,61,1,55.6,52.5,41.9,94.3,811,1633,1.58,1.18,2.76,1.47,2.66,1.46,1.10,2.57,1.38,2.48
47,Leicester City,eng Premier League,27,26.5,54.3,38,418,"3,420",38.0,64,45,109,54,10,12,61,0,55.8,46.3,33.7,80.1,666,1464,1.68,1.18,2.87,1.42,2.61,1.47,0.89,2.36,1.22,2.11
48,Lens,fr Ligue 1,27,26.4,51.1,38,418,"3,420",38.0,53,35,88,43,10,12,94,7,56.4,47.3,37.8,85.1,743,1567,1.39,0.92,2.32,1.13,2.05,1.48,0.99,2.48,1.24,2.24
49,Levante,es La Liga,29,28.0,52.2,38,418,"3,420",38.0,45,35,80,42,3,6,68,1,40.4,35.7,29.6,65.3,619,1537,1.18,0.92,2.11,1.11,2.03,1.06,0.78,1.84,0.94,1.72
50,Leverkusen,de Bundesliga,30,25.4,59.7,34,374,"3,060",34.0,52,41,93,49,3,3,58,0,46.3,44.0,34.7,78.7,724,1522,1.53,1.21,2.74,1.44,2.65,1.36,1.02,2.38,1.29,2.32
