Rk,Squad,Comp,Num_of_Players,Weekly_Wages,Annual_Wages,Pct_Estimated,Season,Weekly_Wages_EUR,Weekly_Wages_GBP,Weekly_Wages_USD,Annual_Wages_EUR,Annual_Wages_GBP,Annual_Wages_USD
96,Lens,Ligue 1,80,"€ 189,423 (£ 158,833, $193,043)","€ 9,850,000 (£ 8,259,307, $10,038,249)",96%,2021-2022,189423.0,158833.0,193043.0,9850000.0,8259307.0,10038249.0
97,Lorient,Ligue 1,85,"€ 173,269 (£ 145,288, $176,581)","€ 9,010,000 (£ 7,554,961, $9,182,194)",96%,2021-2022,173269.0,145288.0,176581.0,9010000.0,7554961.0,9182194.0
98,Clermont Foot,Ligue 1,89,"€ 92,692 (£ 77,723, $94,464)","€ 4,820,000 (£ 4,041,608, $4,912,120)",93%,2021-2022,92692.0,77723.0,94464.0,4820000.0,4041608.0,4912120.0
1,Paris S-G,Ligue 1,61,"€ 6,953,654 (£ 5,982,300, $7,603,546)","€ 361,590,000 (£ 311,079,619, $395,384,417)",26%,2022-2023,6953654.0,5982300.0,7603546.0,361590000.0,311079619.0,395384417.0
2,Real Madrid,La Liga,46,"€ 5,595,192 (£ 4,813,602, $6,118,122)","€ 290,950,000 (£ 250,307,293, $318,142,363)",7%,2022-2023,5595192.0,4813602.0,6118122.0,290950000.0,250307293.0,318142363.0
3,Barcelona,La Liga,49,"€ 5,163,654 (£ 4,442,345, $5,646,252)","€ 268,510,000 (£ 231,001,931, $293,605,104)",23%,2022-2023,5163654.0,4442345.0,5646252.0,268510000.0,231001931.0,293605104.0
4,Manchester Utd,Premier League,92,"€ 5,108,040 (£ 4,394,500, $5,585,441)","€ 265,618,093 (£ 228,514,000, $290,442,939)",18%,2022-2023,5108040.0,4394500.0,5585441.0,265618093.0,228514000.0,290442939.0
5,Bayern Munich,Bundesliga,51,"€ 5,047,500 (£ 4,342,417, $5,519,242)","€ 262,470,000 (£ 225,805,658, $287,000,606)",18%,2022-2023,5047500.0,4342417.0,5519242.0,262470000.0,225805658.0,287000606.0
6,Manchester City,Premier League,70,"€ 4,353,080 (£ 3,745,000, $4,759,922)","€ 226,360,165 (£ 194,740,000, $247,515,941)",13%,2022-2023,4353080.0,3745000.0,4759922.0,226360165.0,194740000.0,247515941.0
7,Chelsea,Premier League,86,"€ 4,248,467 (£ 3,655,000, $4,645,531)","€ 220,920,267 (£ 190,060,000, $241,567,629)",16%,2022-2023,4248467.0,3655000.0,4645531.0,220920267.0,190060000.0,241567629.0
8,Liverpool,Premier League,86,"€ 3,620,786 (£ 3,115,000, $3,959,187)","€ 188,280,884 (£ 161,980,000, $205,877,743)",29%,2022-2023,3620786.0,3115000.0,3959187.0,188280884.0,161980000.0,205877743.0
9,Juventus,Serie A,89,"€ 3,141,731 (£ 2,702,864, $3,435,359)","€ 163,370,000 (£ 140,548,904, $178,638,659)",10%,2022-2023,3141731.0,2702864.0,3435359.0,163370000.0,140548904.0,178638659.0
10,Atlético Madrid,La Liga,45,"€ 2,908,269 (£ 2,502,014, $3,180,078)","€ 151,230,000 (£ 130,104,733, $165,364,046)",32%,2022-2023,2908269.0,2502014.0,3180078.0,151230000.0,130104733.0,165364046.0
11,Inter,Serie A,80,"€ 2,580,000 (£ 2,219,601, $2,821,128)","€ 134,160,000 (£ 115,419,238, $146,698,674)",3%,2022-2023,2580000.0,2219601.0,2821128.0,134160000.0,115419238.0,146698674.0
12,Tottenham,Premier League,79,"€ 2,443,885 (£ 2,102,500, $2,672,293)","€ 127,082,044 (£ 109,330,000, $138,959,216)",29%,2022-2023,2443885.0,2102500.0,2672293.0,127082044.0,109330000.0,138959216.0
13,Dortmund,Bundesliga,64,"€ 2,356,154 (£ 2,027,024, $2,576,361)","€ 122,520,000 (£ 105,405,225, $133,970,796)",68%,2022-2023,2356154.0,2027024.0,2576361.0,122520000.0,105405225.0,133970796.0
14,Arsenal,Premier League,69,"€ 2,272,436 (£ 1,955,000, $2,484,819)","€ 118,166,655 (£ 101,660,000, $129,210,591)",7%,2022-2023,2272436.0,1955000.0,2484819.0,118166655.0,101660000.0,129210591.0
15,Aston Villa,Premier League,81,"€ 2,249,188 (£ 1,935,000, $2,459,399)","€ 116,957,789 (£ 100,620,000, $127,888,743)",23%,2022-2023,2249188.0,1935000.0,2459399.0,116957789.0,100620000.0,127888743.0
