Rk,Squad,Comp,Num_Pl,Age,Poss,MP,Starts,Min,90s,Gls,Ast,G_plus_A,G_minus_PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG_plus_xAG,PrgC,PrgP,Gls_per90,Ast_per90,G_plus_A_per90,G_minus_PK_per90,G_plus_A_minus_PK_per90,xG_per90,xAG_per90,xG_plus_xAG_per90,npxG_per90,npxG_plus_xAG_per90,Season
96.0,West Ham,Premier League,25.0,28.2,47.9,38.0,418.0,3420.0,38.0,58.0,46.0,104.0,54.0,4.0,6.0,52.0,3.0,51.4,46.8,37.4,84.2,646.0,1449.0,1.53,1.21,2.74,1.42,2.63,1.35,0.99,2.34,1.23,2.22,2021-2022
97.0,Wolfsburg,Bundesliga,30.0,26.0,50.5,34.0,374.0,3060.0,34.0,42.0,25.0,67.0,39.0,3.0,4.0,61.0,3.0,47.7,44.9,33.8,78.7,502.0,1220.0,1.24,0.74,1.97,1.15,1.88,1.4,1.0,2.4,1.32,2.31,2021-2022
98.0,Wolves,Premier League,26.0,27.3,49.5,38.0,418.0,3420.0,38.0,35.0,22.0,57.0,34.0,1.0,1.0,62.0,2.0,37.5,36.8,26.4,63.2,723.0,1283.0,0.92,0.58,1.5,0.89,1.47,0.99,0.69,1.68,0.97,1.66,2021-2022
1.0,Ajaccio,Ligue 1,36.0,29.1,43.2,38.0,418.0,3420.0,38.0,22.0,12.0,34.0,16.0,6.0,9.0,86.0,10.0,36.1,29.5,22.8,52.3,487.0,1169.0,0.58,0.32,0.89,0.42,0.74,0.95,0.6,1.55,0.78,1.38,2022-2023
2.0,Almería,La Liga,29.0,26.4,45.1,38.0,418.0,3420.0,38.0,49.0,33.0,82.0,47.0,2.0,3.0,98.0,4.0,45.5,43.2,32.5,75.6,569.0,1090.0,1.29,0.87,2.16,1.24,2.11,1.2,0.85,2.05,1.14,1.99,2022-2023
3.0,Angers,Ligue 1,33.0,25.7,46.9,38.0,418.0,3420.0,38.0,31.0,18.0,49.0,27.0,4.0,4.0,69.0,5.0,40.9,37.8,28.0,65.7,632.0,1393.0,0.82,0.47,1.29,0.71,1.18,1.08,0.74,1.81,0.99,1.73,2022-2023
4.0,Arsenal,Premier League,26.0,24.7,59.3,38.0,418.0,3420.0,38.0,84.0,64.0,148.0,81.0,3.0,4.0,51.0,0.0,71.7,68.9,53.6,122.5,824.0,2049.0,2.21,1.68,3.89,2.13,3.82,1.89,1.41,3.3,1.81,3.22,2022-2023
5.0,Aston Villa,Premier League,26.0,27.0,49.3,38.0,418.0,3420.0,38.0,49.0,35.0,84.0,46.0,3.0,4.0,80.0,1.0,50.3,47.2,38.8,86.0,637.0,1242.0,1.29,0.92,2.21,1.21,2.13,1.32,1.02,2.34,1.24,2.26,2022-2023
6.0,Atalanta,Serie A,27.0,26.5,49.9,38.0,418.0,3420.0,38.0,64.0,42.0,106.0,58.0,6.0,8.0,83.0,3.0,57.7,51.3,42.7,93.9,687.0,1637.0,1.68,1.11,2.79,1.53,2.63,1.52,1.12,2.64,1.35,2.47,2022-2023
7.0,Athletic Club,La Liga,26.0,27.4,51.6,38.0,418.0,3420.0,38.0,46.0,33.0,79.0,41.0,5.0,7.0,81.0,5.0,54.2,48.7,38.9,87.6,864.0,1816.0,1.21,0.87,2.08,1.08,1.95,1.43,1.02,2.45,1.28,2.31,2022-2023
8.0,Atlético Madrid,La Liga,27.0,28.5,50.6,38.0,418.0,3420.0,38.0,68.0,51.0,119.0,67.0,1.0,1.0,92.0,8.0,61.9,61.1,48.0,109.1,730.0,1571.0,1.79,1.34,3.13,1.76,3.11,1.63,1.26,2.89,1.61,2.87,2022-2023
9.0,Augsburg,Bundesliga,34.0,25.9,41.7,34.0,374.0,3060.0,34.0,41.0,29.0,70.0,37.0,4.0,5.0,96.0,5.0,34.7,30.9,24.3,55.2,331.0,847.0,1.21,0.85,2.06,1.09,1.94,1.02,0.71,1.74,0.91,1.62,2022-2023
